p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
1721,25.94479953515398,120,25.583381754793724,122,2.275,7,0.6298663567693201,280
1723,25.76262333139872,126,25.67730702263494,118,2.272727272727273,5,0.6227510156703424,286
1741,26.731188971855257,114,26.36243538196439,166,2.2413793103448274,5,0.6266513497989661,290
1747,26.3909559244419,148,26.597595878649113,140,2.2491349480968856,6,0.6279336004579279,289
1733,26.382573571840737,125,26.264281592613965,140,2.2466216216216215,4,0.6162723600692441,296
1753,26.43810610382202,129,26.669709070165432,112,2.2922535211267605,5,0.6286366229321164,284
1777,26.63984243106359,126,26.56218345526168,130,2.2688172043010755,5,0.6437816544738323,279
1783,26.20358945597308,127,25.53449242849131,140,2.2664576802507836,5,0.5945036455412227,319
1787,26.3217683268047,139,25.651371012870733,145,2.236245954692557,5,0.6133184107442641,309
1759,25.664582148948266,115,26.82546901648664,139,2.246794871794872,4,0.6014781125639568,312
1789,26.08496366685299,174,27.670206819452208,139,2.281045751633987,6,0.6098378982671884,306
1801,26.606885063853415,143,26.55802332037757,124,2.283828382838284,5,0.6157690172126596,303
1823,26.84585847504114,125,26.681294569391113,136,2.2607260726072607,5,0.6242457487657707,303
1811,26.506902263942575,133,26.650469353948093,139,2.259016393442623,4,0.6195472114853672,305
1867,27.819496518478843,141,26.999464381360472,159,2.2261146496815285,4,0.6256025709694697,314
1861,26.966147232670608,117,26.52176249328318,137,2.251572327044025,6,0.615260612573885,318
1847,27.354629128316187,142,26.181916621548456,134,2.2598684210526314,4,0.6280454791553871,304
1831,27.547241944292736,122,26.493173129437466,145,2.247557003257329,5,0.6231567449481158,307
1873,27.133475707421248,139,27.371062466631074,138,2.1751592356687897,4,0.6353443673251469,314
1871,27.576162479957244,124,25.691608765366116,129,2.286624203821656,5,0.6162479957242116,314
1877,27.66968566862014,155,26.74693660095898,169,2.19811320754717,4,0.6275972296217368,318
1879,26.60883448642895,129,26.82277807344332,130,2.2253968253968255,4,0.6269292176689728,315
1889,26.756484912652198,142,27.069348861831656,143,2.255952380952381,4,0.598729486500794,336
1901,27.38190426091531,153,27.201472908995267,155,2.2492012779552715,5,0.6296685954760652,313
1913,27.84526921066388,123,27.212754835337165,163,2.2828947368421053,5,0.6372190277051751,304
1907,26.680125852123755,108,27.43209229155742,147,2.2755102040816326,5,0.649187205034085,294
1931,26.89331952356292,130,27.389435525634386,122,2.2222222222222223,7,0.5960642154324184,351
1933,27.460941541645113,126,27.12984997413347,147,2.260586319218241,5,0.6409725814795655,307
1973,27.490623416117586,223,27.863152559553978,163,2.2455621301775146,5,0.6153066396350735,338
1949,26.636223704463827,114,27.630579784504874,136,2.2442528735632186,6,0.599281682914315,348
1951,26.687852383393132,149,28.237314197847258,137,2.2755417956656347,5,0.6232701178882625,323
1979,28.04244567963618,130,27.557352198079837,181,2.2551319648093844,5,0.6114199090449722,341
1987,27.215903371917463,126,27.66935078007046,129,2.2771084337349397,5,0.6195269250125818,332
1993,27.71149021575514,162,28.280481685900654,145,2.2684365781710913,5,0.6141495233316608,339
1997,28.171757636454682,142,27.200300450676014,127,2.2386363636363638,5,0.6054081121682524,352
2003,28.689465801298052,129,26.734398402396405,146,2.21021021021021,5,0.6325511732401398,333
1999,27.642821410705352,151,27.773386693346673,153,2.2176470588235295,6,0.6228114057028514,340
2011,28.574838388861263,135,28.22526106414719,171,2.2079510703363914,5,0.6409746394828444,327
2027,27.190429205722744,153,28.643315244203254,144,2.232091690544413,6,0.6156882091761223,349
2017,28.178978681209717,144,27.65592464055528,165,2.256797583081571,5,0.6296479920674268,331
2029,28.498767865943815,123,28.51749630359783,125,2.210227272727273,5,0.6165598817151307,352
2039,27.2368808239333,139,28.124080431584108,133,2.2588235294117647,5,0.6233447768513978,340
2063,29.050412021328164,130,28.846340281143966,138,2.2328358208955223,5,0.6374212312166747,335
2053,28.796395518753044,153,28.620068192888457,149,2.2417910447761193,5,0.634193862640039,335
2083,28.54632741238598,155,28.839654344695152,131,2.2612359550561796,5,0.6135381661065771,356
2069,28.621556307394876,160,28.097148380860318,185,2.252808988764045,5,0.612373127114548,356
2087,29.106851940584573,164,28.325826545280307,158,2.237960339943343,4,0.6214662194537613,353
2081,28.594906295050457,127,29.345026429601152,142,2.244047619047619,5,0.6376741950985103,336
2099,29.305859933301573,176,29.468318246784182,165,2.215339233038348,4,0.6422105764649834,339
2089,29.43800861656295,137,28.726184777405457,128,2.2232142857142856,5,0.6424126376256583,336
