p,h_avg,h_max,n_avg,n_max,t_avg,t_max,total_singleton
577,12.691507798960139,78,13.419410745233968,56,1.152046783625731,3,297
599,12.065108514190317,69,12.385642737896495,58,1.1333333333333333,2,301
613,13.34257748776509,64,12,62,1.1122448979591837,4,179
607,13.57001647446458,78,12.960461285008238,63,1.1298245614035087,4,255
647,12.40340030911901,68,13.695517774343122,69,1.1166666666666667,3,271
643,12.57542768273717,66,13.40746500777605,73,1.11986301369863,3,261
631,13.353407290015848,65,13.335974643423137,75,1.0634920634920635,2,120
587,13.49403747870528,69,13.025553662691653,62,1.1134969325153374,3,294
641,13.50390015600624,59,13.003120124804992,72,1.2441113490364026,4,374
619,12.006462035541196,61,12.476575121163167,79,1.1867612293144207,3,349
569,12.678383128295255,70,12.8506151142355,73,1.14,3,176
601,13.073211314475873,73,12.841930116472545,58,1.1771217712177122,4,232
659,12.704097116843702,73,13.14567526555387,79,1.2147505422993492,4,379
653,13.255742725880552,80,12.114854517611025,76,1.2275132275132274,4,314
673,13.340267459138188,67,13.303120356612185,68,1.1842105263157894,4,322
617,13.209076175040519,76,12.714748784440843,68,1.231578947368421,5,384
691,12.351664254703328,76,12.81041968162084,66,1.121301775147929,3,302
683,13.478770131771595,68,13.783308931185944,75,1.2092592592592593,4,449
719,13.364394993045897,80,13.21557719054242,71,1.2332657200811359,4,400
727,14.019257221458046,67,14.089408528198074,65,1.1487179487179486,3,339
743,13.876177658142664,68,14.543741588156124,89,1.1377551020408163,4,347
809,14.281829419035846,79,14.758961681087763,82,1.0551181102362204,2,122
709,13.668547249647391,81,14.871650211565585,91,1.1521739130434783,4,440
701,14.21398002853067,79,13.988587731811698,70,1.1947826086956521,6,486
757,13.871862615587848,73,14.248348745046234,79,1.2008830022075054,3,375
773,14.23673997412678,68,13.749029754204399,97,1.1721991701244814,4,409
739,15.388362652232747,79,14.430311231393775,71,1.153361344537815,4,412
733,13.43656207366985,83,13.694406548431106,72,1.118380062305296,3,287
811,14.810110974106042,75,14.975339087546239,79,1.2050473186119874,4,524
787,14.536213468869123,84,15.07750952986023,74,1.2086553323029365,4,536
761,13.846254927726676,80,13.664914586070958,63,1.2404006677796326,4,486
823,15.922235722964762,91,14.616038882138518,69,1.1694915254237288,4,552
661,13.84266263237519,63,13.441754916792739,75,1.1812865497076024,5,441
839,14.710369487485101,83,16.04052443384982,87,1.1807017543859648,3,477
859,15.40046565774156,73,14.515715948777649,71,1.1663685152057246,4,480
857,14.784130688448075,71,15.670945157526255,80,1.1641221374045803,5,453
853,14.515826494724502,77,15.535756154747949,79,1.161764705882353,4,353
797,14.776662484316185,68,14.0702634880803,74,1.2262090483619346,4,526
829,14.743063932448733,76,14.676718938480096,72,1.1987179487179487,4,521
827,14.740024183796857,113,14.69528415961306,75,1.1976047904191616,4,560
821,14.450669914738125,80,15.334957369062119,92,1.2335216572504708,6,433
751,13.644474034620506,90,13.527296937416777,69,1.2536873156342183,4,268
769,13.785435630689207,77,14.232769830949286,78,1.1784989858012171,4,419
677,12.592319054652881,64,13.282127031019202,73,1.1686182669789227,4,368
881,15.18161180476731,79,15.418842224744608,98,1.1462450592885376,4,445
863,15.120509849362689,74,15.94669756662804,78,1.2304147465437787,5,534
883,14.279728199320498,69,13.981879954699886,97,1.183838383838384,4,417
877,14.875712656784492,80,15.217787913340935,84,1.179530201342282,5,509
887,16.859075535512964,100,15.792559188275085,89,1.1657223796033995,3,602
911,15.580680570801317,75,14.959385290889132,87,1.1963882618510158,3,369
941,15.439957492029755,104,16.376195536663126,81,1.048780487804878,2,119
929,14.96124865446717,75,15.494079655543596,86,1.2537517053206002,5,591
907,14.405733186328556,93,15.426681367144432,80,1.1584158415841583,3,436
947,15.956705385427666,76,15.309398099260823,101,1.224,5,612
937,15.213447171824974,84,16.726787620064034,91,1.1924629878869448,4,624
971,16.401647785787848,89,16.457260556127704,98,1.2333965844402277,5,426
997,16.649949849548644,87,17.859578736208626,98,1.1272365805168987,4,452
919,15.51468988030468,76,14.810663764961916,78,1.2539184952978057,5,515
1019,16.548577036310107,104,16.56820412168793,76,1.2212817412333736,4,677
953,14.803777544596013,90,15.614900314795383,75,1.2342105263157894,4,610
1061,17.67483506126296,101,17.05278039585297,104,1.1990740740740742,3,714
1031,17.360814742967992,90,16.721629485935985,97,1.1715374841168995,4,672
1013,16.34155972359329,86,16.283316880552814,98,1.2147937411095306,5,577
1063,17.25211665098777,114,16.46190028222013,100,1.1805555555555556,3,603
977,16.396110542476972,85,17.09007164790174,96,1.1808066759388038,4,608
991,15.710393541876892,95,15.946518668012109,90,1.231754161331626,6,638
967,16.1923474663909,91,16.311271975180972,91,1.1907514450867052,4,576
1009,16.72844400396432,93,16.04459861248761,82,1.2236363636363636,4,447
1021,15.778648383937316,88,16.58863858961802,103,1.2146401985111663,4,663
1039,16.351299326275264,92,17.29932627526468,98,1.2101534828807556,4,695
983,16.107833163784335,95,16.62970498474059,99,1.2522658610271904,4,524
1049,17.63489037178265,123,17.238322211630123,103,1.1907032181168058,4,701
1033,16.33107454017425,94,16.742497579864473,83,1.2174447174447174,3,658
1051,16.611798287345387,112,16.78591817316841,95,1.2063291139240506,4,652
1087,16.998160073597056,107,18.277828886844524,101,1.2385919165580181,4,615
1109,16.508566275924256,99,17.41478809738503,100,1.1362397820163488,4,647
1097,16.298997265268916,100,17.23974475843209,105,1.2641509433962264,4,545
1093,16.569990850869168,85,17.548947849954253,103,1.2046783625730995,5,706
1069,16.774555659494855,100,16.385406922357344,112,1.289085545722714,4,517
1091,17.36755270394134,99,16.818515123739687,105,1.1803482587064678,3,678
1103,17.368087035358116,106,16.498640072529465,80,1.2,4,733
1151,16.8879235447437,111,17.441355343179843,102,1.2217327459618208,3,553
1171,17.550811272416738,115,17.9931682322801,105,1.193421052631579,4,639
1123,17.05520926090828,91,17.10685663401603,86,1.2321428571428572,4,540
1187,17.406908171861836,123,18.008424599831507,111,1.2206035379812694,5,787
1193,17.97485331098072,97,18.237217099748534,95,1.1763341067285382,4,730
1181,16.801016088060965,91,18.038950042337003,81,1.2547288776796974,4,629
1153,16.668690372940155,104,17.716392020815263,103,1.2266514806378133,4,709
1213,18.124484748557297,118,18.606760098928277,109,1.1723756906077347,4,764
1201,19.431307243963364,122,18.10241465445462,100,1.1957964601769913,5,752
1129,17.484499557130203,111,17.70593445527015,104,1.1963470319634704,3,725
1217,19.34264585045193,111,18.25390304026294,98,1.188422247446084,4,739
1223,18.040883074407194,100,18.941128372853637,115,1.228287841191067,4,653
1163,17.742906276870162,102,17.10404127257094,90,1.170124481327801,4,615
1117,17.314234556848703,115,16.58012533572068,85,1.224669603524229,4,738
1291,18.21688613477924,122,18.363284275755227,105,1.2002063983488132,4,805
1237,19.124494745351658,108,18.264349232012936,98,1.185786802030457,4,832
1259,18.01826846703733,110,17.62509928514694,96,1.1980792316926772,4,692
1279,18.36200156372166,99,18.323690383111806,108,1.2648725212464589,5,555
1277,16.79169929522318,103,18.343774471417383,95,1.2505694760820045,4,698
1229,17.59967453213995,96,17.6346623270952,110,1.2273212379935965,4,756
1231,18.62956945572705,106,18.588952071486595,104,1.150564617314931,3,689
1301,18.627978478093773,102,18.817832436587242,120,1.0403225806451613,2,121
1249,17.89031224979984,114,18.917534027221777,116,1.1897654584221748,4,785
1373,19.54624908958485,109,18.957756737072106,113,1.2158273381294964,4,676
1319,17.495072024260804,117,18.97573919636088,114,1.2272727272727273,4,836
1297,18.428681572860448,112,18.854279105628372,98,1.2563805104408352,5,684
1303,19.01458173445894,109,19.551803530314658,107,1.1875,5,890
1283,19.001558846453623,106,18.21745908028059,117,1.1672816728167281,4,697
1321,19.426192278576835,110,18.224072672218018,98,1.1728134878819811,4,811
1307,18.66947207345065,122,19.313695485845447,109,1.1834381551362683,4,801
1361,18.5165319617928,116,19.085231447465098,103,1.2415784408084696,5,841
1289,18.758727695888286,109,17.706749418153606,111,1.2145708582834331,4,819
1381,19.06010137581463,119,19.337436640115858,113,1.2206208425720622,4,736
1399,19.63902787705504,124,19.79413867047891,111,1.1991657977059438,4,793
1327,18.81386586284853,104,18.66164280331575,110,1.216804979253112,5,795
1427,18.91450595655221,121,19.230553608969867,96,1.1992619926199262,4,907
1367,20.10021945866862,111,18.536942209217266,116,1.1939086294416243,4,825
1409,19.194464158977997,119,20.11639460610362,107,1.213898916967509,4,908
1423,19.415319747013353,124,19.612087139845396,108,1.2005597014925373,4,886
1439,20.44336344683808,113,19.583043780403056,107,1.1941463414634146,4,864
1511,19.650562541363335,130,19.072137657180676,104,1.1067796610169491,3,533
1583,20.382817435249525,109,20.381554011370817,133,1.1839080459770115,4,880
1487,20,104,20.48016139878951,106,1.1442411194833153,4,810
1429,18.998600419874037,113,19.261721483554933,111,1.2210144927536233,4,899
1637,20.22419059254734,125,21.13439218081857,100,2,1,2
1693,21.764323685764914,134,20.86119314825753,119,1.2314893617021276,4,945
1627,21.06023355869699,115,21.518746158574064,139,1.1872477804681194,6,1038
1493,19.95244474212994,123,18.51239115874079,108,1.198224852071006,4,850
1453,18.7150722642808,160,19.297315898141775,107,1.2223206377325067,5,930
1787,21.454392837157247,145,21.559037493005036,139,1.1458752515090542,3,861
1697,21.571596935769005,147,21.30819092516205,122,1.1977559607293127,4,593
1741,21.782309017805858,166,21.85927627800115,114,1.234887737478411,5,939
1877,22.211507725093234,159,22.899840170484815,155,1.192873741285825,4,1073
1873,23.306994127068872,138,22.98718633208756,139,1.1143911439114391,3,247
1933,22.37506466632178,147,22.424728401448526,117,1.1297786720321932,3,878
1571,20.62826225334182,109,20.600891152132398,108,1.173992673992674,4,927
1489,19.458025520483545,120,20.075218267293486,114,1.227994227994228,5,557
1619,19.94626312538604,159,20.262507720815318,136,1.199134199134199,5,961
1613,20.494110353378797,121,20.427774333539986,130,1.066860465116279,3,326
1783,20.973079080201906,140,21.399326977005046,127,1.2327731092436975,5,965
1543,20.997407647440053,111,19.16396629941672,109,1.1986242476354256,5,968
1951,22.98769861609431,137,21.89031266017427,149,1.153469387755102,4,1060
1471,19.408565601631544,104,19.557443915703605,104,1.1485507246376812,4,720
1889,22.61461090524087,143,21.984118581259924,142,1.1952117863720073,3,447
1523,18.960604070912673,105,19.625082074852266,125,1.1861520998864927,4,744
1579,21.077897403419886,140,20.7555414819506,111,1.2200188857412653,4,857
1709,22.06495026331188,126,21.574605032182564,111,1.2276497695852535,4,875
1861,21.366469639978508,137,22.246104245029553,117,1.2251121076233185,5,918
1499,19.950633755837224,112,21.30953969312875,111,1.107669616519174,3,615
2003,22.693459810284573,146,23.833250124812782,129,1.1506849315068493,4,759
1657,20.986119493059746,130,21.92878696439348,153,1.1184615384615384,4,581
1567,19.7702616464582,112,21.014039566049778,122,1.0888888888888888,3,456
1801,22.247084952804,124,22.135480288728484,143,1.0326086956521738,2,180
2017,23.02429350520575,165,23.38720872583044,144,1.1911860012961764,5,1299
1667,21.33893221355729,123,21.049790041991603,116,1.1973684210526316,5,768
1723,21.19442832269298,118,21.179918746372607,123,1.1584645669291338,4,880
1433,20.394277739009073,125,18.546406140963015,107,1.1811740890688258,4,835
1997,21.986980470706058,127,22.70305458187281,126,1.1778202676864244,4,443
1979,23.078827690752906,181,23.33046993431026,130,1.1962264150943396,3,433
1459,19.802604523646334,107,19.512679917751885,100,1.1246290801186944,4,597
1871,20.864778193479424,124,22.544094067343668,124,1.1185819070904646,3,731
1597,19.397620538509706,115,21.041953663118345,107,1.2205607476635514,4,873
2011,23.57782197911487,171,23.781700646444556,135,1.1786015164279697,4,998
1993,23.410436527847466,145,22.980431510286,130,1.1784298176050754,4,1065
1987,22.652239557121288,129,21.927025666834425,126,1.2178090967328636,4,1278
1621,20.72547809993831,119,20.23750771128933,109,1.204864359214219,5,883
1747,22.396680022896394,130,22.116771608471666,148,1.1689655172413793,4,742
1447,19.866620594333103,113,19.874913614374567,143,1.1094771241830066,3,553
1559,21.084669660038486,115,20.747273893521488,102,1.1977401129943503,5,887
1451,19.11647139903515,124,19.210199862164025,133,1.205128205128205,7,788
1753,22.132915002852254,112,21.71648602395893,127,1.1148325358851674,3,746
1481,20.61242403781229,118,19.544226873733965,150,1.170045045045045,4,758
1867,22.06695232994108,126,22.68184252811998,141,1.1655844155844155,4,788
2087,23.15093435553426,158,24.0134163871586,164,1.2194805194805194,4,1255
1777,21.954417557681484,130,22.063590320765336,126,1.1616832779623478,5,777
1901,22.423461336138875,155,22.427143608627038,153,1.2021857923497268,4,1219
1601,20.91317926296065,114,20.453466583385385,106,1.168527918781726,4,847
1973,23.034465281297518,163,22.617334009123162,223,1.2145305003427005,5,1207
1879,22.032996274614156,126,21.91059073975519,129,1.1835443037974684,4,529
1999,22.520760380190094,153,22.570285142571286,151,1.2056878306878307,5,1256
1831,21.81048607318405,145,22.551064991807756,122,1.2015613910574876,4,1169
1607,21.44181705040448,155,21.106409458618543,181,1.1946666666666668,5,625
2029,23.687530803351404,122,23.569245933957614,123,1.142607174103237,3,998
2111,24.27096162955945,134,23.673614400757934,153,1.196078431372549,5,1372
2063,24.0785264178381,138,24.103247697527873,130,1.1416464891041163,4,719
1669,20.373277411623725,133,21.58957459556621,151,1.2146814404432134,6,594
2137,23.592887225081892,143,24.19326158165653,136,1.1237424547283703,4,885
1609,20.536979490366686,112,20.732131758856433,131,1.2044270833333333,3,631
2069,23.25906234896085,185,23.734654422426292,145,1.2149253731343284,5,1372
2129,23.74119304837952,165,24.237200563644905,143,1.1985981308411215,4,1412
1549,19.732085216268562,109,20.35958683021304,122,1.2054263565891472,3,640
2099,24.850404954740352,165,24.654121010004765,176,1.200253485424588,4,1306
2153,23.83650719925685,129,24.78262888992104,148,1.206989247311828,4,1227
2027,23.697089294523927,144,22.726689689195855,125,1.2270596115204286,6,1205
2131,23.752229000469264,140,23.733458470201782,147,1.2286644951140064,6,1248
2039,23.248651299656693,126,22.607650809220207,139,1.2187104930467763,4,1296
1789,22.769144773616546,128,20.940190050307436,174,1.2291361639824305,5,1110
1907,22.780283167278448,147,22.033560566334558,108,1.1404786680541104,5,848
1823,22.222161272627538,136,22.35161821173889,125,1.2164781906300484,5,1014
1733,21.8199653779573,124,21.964223889209464,125,1.2006773920406435,4,974
2143,23.980401306579562,124,24.664955669622024,132,1.193863319386332,5,1195
1847,21.35300487276665,134,22.43313481321061,142,1.22165820642978,4,959
1931,22.394614189539098,122,21.85189021232522,130,1.2329824561403508,7,1147
1531,19.797517962116263,120,20.59699542782495,108,1.1982222222222223,4,938
2053,23.894301022893327,149,24.272284461763274,153,1.1943947525342875,5,1395
1949,22.6629040533607,136,22.100564391995896,114,1.248546511627907,5,1089
1811,22.232468249585864,139,22.392048591938156,133,1.17601246105919,4,1092
1913,22.611082070047047,163,22.918452692106637,123,1.2073333333333334,5,1244
2089,24.418382000957397,128,24.406414552417424,137,1.1940298507462686,4,1396
2161,24.885701064322074,167,24.317445627024526,135,1.1925614877024595,4,1400
2141,23.15506772536198,149,22.946286781877628,142,1.2176991150442478,5,1393
1483,19.887390424814566,103,19.970330411328387,114,1.220159151193634,4,920
2213,24.59511974694984,153,24.267058291911432,159,1.1953818827708704,5,1413
1699,21.994114184814595,135,20.898763978811065,119,1.2010785824345147,5,1071
2081,24.214320038443056,142,23.672272945699184,126,1.2129396984924623,5,1308
1663,21.935658448586892,118,21.25435959110042,129,1.198986975397974,5,1149
2113,24.183151916706105,136,23.473734027449126,129,1.2116158711903393,4,1433
1553,19.989053444945267,119,20.27044430135222,124,1.2070089649551752,4,1010
2179,23.264341441027995,170,24.620468104635155,146,1.1872586872586872,4,1299
1759,22.17509948834565,139,21.085844229675953,115,1.1666666666666667,3,915
2083,23.5741718674988,131,23.15218434949592,155,1.2103912764592688,4,1283
2203,23.92964139809351,148,23.837494325919202,132,1.206596141879278,4,1326
2309,24.77003031615418,143,25.54742312689476,143,1.2169197396963123,4,1122
2267,25.31583590648434,154,25.039258932509924,136,1.1792328042328042,6,1283
2311,24.426655127650367,153,25.534833405452186,197,1.152156862745098,4,1106
2243,24.16183682567989,161,23.625055728934463,151,1.1806167400881058,4,1147
2221,24.90229626294462,159,25.5038271049077,151,1.0983284169124876,3,926
2207,24.408699592206617,150,24.365201631173537,157,1.16017634092579,3,1166
2269,24.90039665050683,177,24.243719700308507,158,1.150787696924231,4,1157
2339,25.10004275331338,141,25.48396750748183,152,1.1819407008086253,4,1244
1721,21.195816385822198,122,21.560720511330622,120,1.1831357048748352,5,640
2251,23.911594846734786,140,24.920924033762773,138,1.1687791861240828,5,1287
2383,25.034410407049936,158,24.779269827947964,142,1.2088353413654618,5,1432
2411,25.58938199917047,157,26.18498548320199,153,1.0958579881656805,4,771
3343,30.05234819024828,192,29.29255160035896,207,1.2301170771094065,5,1998
2417,24.89242863053372,182,25.554820024824163,146,1.1801501251042537,5,1021
2459,25.575030500203336,151,25.96583977226515,166,1.0994475138121547,4,826
3359,29.97350401905329,178,30.611491515331945,212,1.1490222521915037,4,1287
2503,26.96883739512585,161,25.47542948461846,149,1.086508753861998,3,895
2557,26.332029722330855,157,25.40398904966758,145,1.04,1,26
2909,29.28119628738398,192,27.71674114816088,170,1.1322248614410135,4,1116
2437,25.570783750512927,165,27.35166187935987,144,1.213757816941444,5,1441
2551,25.332418659349276,187,25.815366522932184,159,1.1757402101241643,4,886
2531,26.355590675622285,189,25.892927696562623,133,1.197514715500327,4,1277
2851,27.854086285513855,196,27.884952648193615,157,1.1036106750392465,3,1155
3067,27.872187805673295,183,29.351809585914573,175,1.1239935587761676,3,1103
3251,29.008920332205474,222,28.451245770532143,194,1.2186654643823265,5,1811
3089,28.36484299125931,170,28.316607316283587,172,1.2199730094466936,5,1814
2711,26.407229804500183,151,26.18185171523423,143,1.0979877515310585,4,1045
2273,24.24329080510339,155,23.990321161460624,158,1.147083685545224,3,1031
2423,25.543128353281055,145,24.877837391663228,150,1.1637795275590552,3,1083
2833,28.00141193081539,184,27.504059301094248,152,1.1343283582089552,3,1120
2617,25.940007642338557,168,26.941918226977457,168,1.0996677740863787,3,819
2609,26.25948639325412,151,26.200076657723265,167,1.1537530266343825,4,720
2707,26.355744366457333,154,27.8562984854082,189,1.151170568561873,4,1294
2953,27.579749407382323,167,27.008127328140873,159,1.1821808510638299,7,1283
3041,28.124630055902664,196,28.225583689575796,169,1.058411214953271,2,405
2803,26.87299322154834,193,27.023189439885837,170,1.125,1,9
2237,24.443898077782745,145,24.648636566830575,136,1.125,4,729
2767,27.997470184315144,154,27.393928442356344,179,1.1225238444607484,4,1217
3319,29.264537511298585,211,31.023199758963543,183,1.1358885017421603,4,1261
3301,30.550742199333534,198,30.61102696152681,178,1.1257631257631258,3,1445
2797,27.652484805148372,167,28.272434751519484,184,1.0785634118967453,4,831
2719,27.369621184258918,153,26.276572269216622,190,1.1916605705925385,4,1134
3109,28.34351881633966,230,28.54293985204246,214,1.2253313696612667,5,1658
3023,28.61098246774727,164,27.704267284154813,178,1.2054852320675105,4,1967
2441,25.144612863580498,145,25.28021302744777,142,1.0769230769230769,1,14
2357,25.83792957148918,165,24.701739499363597,137,1.0196078431372548,1,52
2963,28.723253459331758,205,28.88626392170098,169,1.1982829108748978,4,2029
2713,27.370070033173608,159,26.402137854773315,171,1.174810736407433,5,1231
2699,26.600592812152648,144,25.7858466098555,162,1.1041009463722398,3,864
2467,25.636805837049046,182,25.25780299959465,157,1.044776119402985,2,194
2819,27.39694927279177,158,28.175594182334162,186,1.118925831202046,3,696
2663,27.141945174615095,166,26.147202403304544,197,1.0977653631284916,3,651
2393,24.908483075637275,155,25.09360635185959,134,1.0416666666666667,1,25
3499,29.526721920548727,173,30.52529294084024,196,1.1366515837104072,4,972
2741,28.153228748631886,174,26.09923385625684,151,1.171990171990172,5,1395
2777,27.0925459128556,174,26.774576881526826,158,1.1367924528301887,3,1117
3181,28.499528450172903,195,29.163784973278844,185,1.1931711880261926,4,1783
2549,25.87171439780306,173,25.44527265594351,146,1.213618890719385,5,1492
2633,27.036840106342574,167,27.510064565134826,169,1.2013385387618516,4,1480
3079,29.364079246508606,167,29.282559272491067,200,1.1358811040339702,3,1239
3049,28.44440800262381,171,29.423089537553295,174,1.2155172413793103,5,1809
2543,26.529296106960285,163,26.893826189539915,164,1.154320987654321,5,1405
2689,26.65265898103384,159,27.429527705466715,155,1.1758241758241759,4,1318
2293,23.67597034452682,135,24.22721325774095,170,1.1769662921348314,3,603
2729,26.923415170392087,175,26.700256504213996,155,1.1764705882352942,4,1582
3217,29.38265464718682,169,28.698476841778053,169,1.236220472440945,5,1637
3389,29.472410740631453,194,30.19268220714075,217,1.1957052220595412,5,1708
